Time Stamp,District,Area,Status
1480143601,7,Area08_005,Done
1480143601,7,Area08_006,Done
1480143601,7,Area08_007,Done
1480143601,7,Area08_008,Done
1480143601,7,Area08_009,Done
1480143601,7,Area08_010,Done
1480143601,7,Area08_011,Done
1480143601,7,Area08_012,Done
1480143601,7,Area08_013,Done
1480143601,7,Area08_014,Done
1480143601,7,Area08_015,Done
1480143601,7,Area08_016,Done
1480143601,7,Area08_017,Done
1480143601,7,Area08_018,Done
1480143601,7,Area08_019,Done
1480143601,7,Area08_020,Done
1480143601,7,Area08_021,Done
1480143601,7,Area08_022,Done
1480143601,7,Area08_099,Done
1480143601,8,Area09_001,Current
1480143601,8,Area09_002,Current
1480143601,8,Area09_003,Current
1480143601,8,Area09_004,Current
